timestamp,rig_id,equipment,operational_mode,power_kw,vibration_rms,temperature_c,bearing_temp_c,pressure_psi,flow_rate_m3h,rotational_speed_rpm,energy_deviation,anomaly_score,failure_indicator,failure_flag,estimated_rul_hours
2026-02-01 00:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,816.9,0.171,61.0,68.5,3106,15.0,1247,0.0,0.0,0.039,0,420
2026-02-01 01:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,790.5,0.219,62.2,68.2,3098,14.95,1243,-0.028,0.0,0.043000000000000003,0,412
2026-02-01 02:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,813.6,0.189,62.9,70.1,3087,14.59,1279,0.001,0.0,0.048,0,405
2026-02-01 03:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,825.5,0.23,64.8,70.9,3037,14.61,1209,0.013000000000000001,0.0,0.054,0,397
2026-02-01 04:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,842.5,0.248,63.3,73.3,3014,14.61,1214,0.029,0.0,0.059000000000000004,0,389
2026-02-01 05:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,833.4,0.251,65.8,75.1,3019,14.54,1249,0.015,0.0,0.066,0,382
2026-02-01 06:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,853.7,0.279,64.0,71.8,3012,14.59,1258,0.033,0.0,0.073,0,374
2026-02-01 07:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,850.8,0.352,66.3,75.1,2991,14.2,1249,0.025,0.0,0.08,0,367
2026-02-01 08:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,849.7,0.343,66.7,77.4,2961,13.87,1254,0.02,0.0,0.089,0,359
2026-02-01 09:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,889.0,0.34400000000000003,66.8,75.6,2929,13.95,1236,0.057,0.0,0.098,0,351
2026-02-01 10:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,895.0,0.365,68.4,79.7,2956,13.85,1264,0.054,0.0,0.108,0,344
2026-02-01 11:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,895.4,0.386,67.6,79.8,2926,13.81,1242,0.046,0.0,0.11900000000000001,0,336
2026-02-01 12:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,894.0,0.397,69.5,81.6,2918,13.73,1270,0.037,0.0,0.131,0,328
2026-02-01 13:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,910.8,0.428,70.4,80.2,2871,13.81,1277,0.048,0.0,0.14400000000000002,0,321
2026-02-01 14:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,908.6,0.438,70.5,82.4,2860,13.25,1271,0.038,0.0,0.158,0,313
2026-02-01 15:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,914.3,0.495,72.0,85.1,2825,13.27,1269,0.038,0.0,0.17300000000000001,0,305
2026-02-01 16:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,938.6,0.497,71.6,84.2,2815,13.14,1253,0.055,0.0,0.189,0,298
2026-02-01 17:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,953.5,0.497,72.7,85.8,2798,13.07,1280,0.06,0.0,0.20700000000000002,0,290
2026-02-01 18:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,948.9,0.531,74.9,86.3,2765,12.93,1257,0.047,0.0,0.225,0,283
2026-02-01 19:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,954.1,0.521,73.4,87.1,2733,12.62,1274,0.044,0.0,0.245,0,275
2026-02-01 20:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1068.1,0.6000000000000001,77.1,89.7,2716,12.68,1537,0.14,0.0,0.265,0,267
2026-02-01 21:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1075.9,0.604,77.0,92.0,2687,12.61,1555,0.123,0.0,0.28700000000000003,0,260
2026-02-01 22:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1104.0,0.664,77.8,93.9,2722,12.64,1527,0.127,0.0,0.31,0,252
2026-02-01 23:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1106.2,0.687,78.5,94.6,2701,12.32,1556,0.108,0.0,0.334,0,244
2026-02-02 00:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1100.3,0.654,79.8,95.2,2660,12.41,1529,0.085,0.0,0.359,0,237
2026-02-02 01:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1118.7,0.709,81.6,94.4,2655,12.12,1554,0.08600000000000001,0.0,0.384,0,229
2026-02-02 02:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1132.0,0.735,82.0,94.8,2599,12.16,1544,0.083,0.024,0.427,0,221
2026-02-02 03:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1149.3,0.736,82.0,99.3,2590,11.71,1587,0.084,0.08700000000000001,0.502,0,214
2026-02-02 04:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1127.8,0.763,84.1,99.2,2555,11.97,1525,0.053,0.108,0.544,0,206
2026-02-02 05:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1142.4,0.763,84.7,100.4,2581,11.68,1549,0.056,0.125,0.584,0,199
2026-02-02 06:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1153.4,0.784,85.3,100.6,2556,11.55,1542,0.056,0.15,0.628,0,191
2026-02-02 07:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1174.2,0.807,86.0,102.2,2560,11.48,1550,0.063,0.197,0.684,0,183
2026-02-02 08:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1240.7,1.404,86.8,110.7,2508,11.48,1553,0.10300000000000001,0.9440000000000001,0.9580000000000001,0,176
2026-02-02 09:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1231.2,1.329,87.1,116.4,2511,11.42,1550,0.079,0.9400000000000001,0.962,0,168
2026-02-02 10:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1298.8,1.362,87.6,115.2,2494,11.17,1570,0.115,0.966,0.968,0,160
2026-02-02 11:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1281.6,1.32,88.0,118.5,2427,11.03,1554,0.084,0.9590000000000001,0.971,0,153
2026-02-02 12:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1216.7,0.919,89.2,108.2,2424,10.82,1559,0.025,0.388,0.869,0,145
2026-02-02 13:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1233.8,0.9560000000000001,90.6,105.9,2420,11.0,1561,0.033,0.396,0.883,0,137
2026-02-02 14:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1231.3,0.9570000000000001,90.2,109.8,2394,10.88,1570,0.026000000000000002,0.45,0.908,0,130
2026-02-02 15:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1238.2,0.983,92.1,109.3,2368,10.33,1579,0.027,0.47100000000000003,0.922,0,122
2026-02-02 16:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1248.5,0.9480000000000001,90.7,110.7,2370,10.48,1572,0.03,0.455,0.926,0,115
2026-02-02 17:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1252.3,0.984,93.5,112.6,2337,10.53,1548,0.028,0.517,0.9440000000000001,0,107
2026-02-02 18:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1268.1,1.051,95.0,113.0,2348,10.19,1572,0.035,0.595,0.96,0,99
2026-02-02 19:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1279.5,1.019,94.5,115.1,2296,10.14,1592,0.037,0.591,0.963,0,92
2026-02-02 20:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1277.7,1.041,94.5,113.6,2304,10.08,1552,0.03,0.59,0.967,0,84
2026-02-02 21:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1293.1,1.148,95.2,115.1,2266,10.0,1573,0.036000000000000004,0.724,0.98,0,76
2026-02-02 22:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1299.1,1.088,96.9,116.9,2212,9.96,1584,0.034,0.686,0.98,0,69
2026-02-02 23:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1314.7,1.126,97.4,117.2,2198,9.74,1545,0.04,0.73,0.984,0,61
2026-02-03 00:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1330.0,1.1219999999999999,97.8,118.8,2236,9.46,1547,0.044,0.75,0.986,0,53
2026-02-03 01:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1328.6,1.149,98.2,120.5,2198,9.68,1560,0.036000000000000004,0.799,0.989,0,46
2026-02-03 02:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1370.4,1.231,99.2,118.3,2164,9.37,1533,0.058,0.858,0.992,0,38
2026-02-03 03:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1353.7,1.207,99.5,122.8,2164,9.19,1580,0.038,0.892,0.994,0,31
2026-02-03 04:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1355.4,1.216,100.9,123.6,2117,8.87,1587,0.033,0.911,0.995,0,23
2026-02-03 05:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1354.9,1.254,103.0,124.0,2087,8.85,1599,0.028,0.9550000000000001,0.996,0,15
2026-02-03 06:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1379.7,1.282,103.0,124.9,2084,8.8,1523,0.039,1.0,0.997,0,8
2026-02-03 07:00:00+00:00,RIG-CRIT-01,TopDrive,MAINTENANCE,587.9,0.159,60.4,66.2,3119,14.91,1092,-0.517,0.0,0.9430000000000001,0,0
2026-02-03 08:00:00+00:00,RIG-CRIT-01,TopDrive,MAINTENANCE,592.9,0.157,59.9,66.6,3120,14.94,1103,-0.47200000000000003,0.0,0.9430000000000001,0,0
2026-02-03 09:00:00+00:00,RIG-CRIT-01,TopDrive,MAINTENANCE,608.6,0.159,60.8,65.1,3124,14.91,1056,-0.418,0.0,0.9430000000000001,0,0
